IsolateID1	IsolateID2	PTS_score	label
S8MRS0190-WB1-R1.MID10.P3.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.018018018018018	1uL
S8MRS0228-WB1.MID10.P7.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0256-WB1.MID10.P9.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0365853658536585	1uL
S8MRS0257-WB1.MID15.P9.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0266666666666667	1uL
S8MRS0273-WB1.MID20.P3.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0257234726688103	1uL
S8MRS0307-WB1.MID24.P7.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0421052631578947	1uL
S8MRS0370-WB1.MID28.P1.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0515-WB1.MID36.P2.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.00862068965517241	1uL
S8MRS0527-WB1.MID36.P4.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0532-WB1.MID40.P4.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0428571428571429	1uL
S8MRS0569-WB1.MID36.P7.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.043010752688172	1uL
S8MRS0572-WB1.MID36.P8.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.021978021978022	1uL
S8MRS0581-WB1-R1.MID36.P9.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0175438596491228	1uL
S8MRS0586-WB1.MID36.P10.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0633-WB1.MID48.P4.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0206185567010309	1uL
S8MRS0636-WB1.MID48.P5.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0655-WB1.MID48.P8.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0124610591900312	1uL
S8MRS0659-WB1.MID44.P10.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0660-WB1.MID48.P10.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0275862068965517	1uL
S8MRS0671-WB1.MID57.P1.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0180722891566265	1uL
